Period,Accomodation type,Travel,Tourists
3/1/2014,Group accomodations,Domestic,67000
3/1/2014,Group accomodations,International,2000
4/1/2014,Group accomodations,Domestic,110000
4/1/2014,Group accomodations,International,6000
5/1/2014,Group accomodations,Domestic,182000
5/1/2014,Group accomodations,International,5000
6/1/2014,Group accomodations,Domestic,209000
6/1/2014,Group accomodations,International,8000
7/1/2014,Group accomodations,Domestic,109000
7/1/2014,Group accomodations,International,17000
8/1/2014,Group accomodations,Domestic,118000
8/1/2014,Group accomodations,International,18000
9/1/2014,Group accomodations,Domestic,186000
9/1/2014,Group accomodations,International,6000
10/1/2014,Group accomodations,Domestic,119000
10/1/2014,Group accomodations,International,5000
11/1/2014,Group accomodations,Domestic,73000
11/1/2014,Group accomodations,International,1000
12/1/2014,Group accomodations,Domestic,45000
12/1/2014,Group accomodations,International,1000
1/1/2015,Group accomodations,Domestic,45000
1/1/2015,Group accomodations,International,1000
2/1/2015,Group accomodations,Domestic,44000
2/1/2015,Group accomodations,International,1000
3/1/2015,Group accomodations,Domestic,64000
3/1/2015,Group accomodations,International,3000
4/1/2015,Group accomodations,Domestic,112000
4/1/2015,Group accomodations,International,5000
5/1/2015,Group accomodations,Domestic,186000
5/1/2015,Group accomodations,International,8000
6/1/2015,Group accomodations,Domestic,210000
6/1/2015,Group accomodations,International,6000
7/1/2015,Group accomodations,Domestic,113000
7/1/2015,Group accomodations,International,18000
8/1/2015,Group accomodations,Domestic,130000
8/1/2015,Group accomodations,International,17000
9/1/2015,Group accomodations,Domestic,197000
9/1/2015,Group accomodations,International,7000
10/1/2015,Group accomodations,Domestic,129000
10/1/2015,Group accomodations,International,7000
11/1/2015,Group accomodations,Domestic,61000
11/1/2015,Group accomodations,International,1000
12/1/2015,Group accomodations,Domestic,46000
12/1/2015,Group accomodations,International,2000
1/1/2016,Group accomodations,Domestic,46000
1/1/2016,Group accomodations,International,2000
2/1/2016,Group accomodations,Domestic,37000
2/1/2016,Group accomodations,International,2000
3/1/2016,Group accomodations,Domestic,59000
3/1/2016,Group accomodations,International,3000
4/1/2016,Group accomodations,Domestic,106000
4/1/2016,Group accomodations,International,4000
5/1/2016,Group accomodations,Domestic,172000
5/1/2016,Group accomodations,International,8000
6/1/2016,Group accomodations,Domestic,183000
6/1/2016,Group accomodations,International,7000
7/1/2016,Group accomodations,Domestic,104000
7/1/2016,Group accomodations,International,15000
8/1/2016,Group accomodations,Domestic,107000
8/1/2016,Group accomodations,International,14000
9/1/2016,Group accomodations,Domestic,204000
9/1/2016,Group accomodations,International,5000
10/1/2016,Group accomodations,Domestic,138000
10/1/2016,Group accomodations,International,7000
11/1/2016,Group accomodations,Domestic,70000
11/1/2016,Group accomodations,International,2000
12/1/2016,Group accomodations,Domestic,40000
12/1/2016,Group accomodations,International,3000
1/1/2017,Group accomodations,Domestic,54000
1/1/2017,Group accomodations,International,3000
2/1/2017,Group accomodations,Domestic,49000
2/1/2017,Group accomodations,International,3000
3/1/2017,Group accomodations,Domestic,72000
3/1/2017,Group accomodations,International,3000
4/1/2017,Group accomodations,Domestic,123000
4/1/2017,Group accomodations,International,7000
5/1/2017,Group accomodations,Domestic,177000
5/1/2017,Group accomodations,International,7000
6/1/2017,Group accomodations,Domestic,209000
6/1/2017,Group accomodations,International,8000
7/1/2017,Group accomodations,Domestic,124000
7/1/2017,Group accomodations,International,19000
8/1/2017,Group accomodations,Domestic,113000
8/1/2017,Group accomodations,International,17000
9/1/2017,Group accomodations,Domestic,212000
9/1/2017,Group accomodations,International,6000
10/1/2017,Group accomodations,Domestic,130000
10/1/2017,Group accomodations,International,5000
11/1/2017,Group accomodations,Domestic,80000
11/1/2017,Group accomodations,International,3000
12/1/2017,Group accomodations,Domestic,65000
12/1/2017,Group accomodations,International,4000
1/1/2018,Group accomodations,Domestic,57000
1/1/2018,Group accomodations,International,6000
2/1/2018,Group accomodations,Domestic,47000
2/1/2018,Group accomodations,International,5000
3/1/2018,Group accomodations,Domestic,87000
3/1/2018,Group accomodations,International,6000
4/1/2018,Group accomodations,Domestic,136000
4/1/2018,Group accomodations,International,17000
5/1/2018,Group accomodations,Domestic,180000
5/1/2018,Group accomodations,International,11000
6/1/2018,Group accomodations,Domestic,214000
6/1/2018,Group accomodations,International,11000
7/1/2018,Group accomodations,Domestic,110000
7/1/2018,Group accomodations,International,20000
8/1/2018,Group accomodations,Domestic,117000
8/1/2018,Group accomodations,International,20000
9/1/2018,Group accomodations,Domestic,215000
9/1/2018,Group accomodations,International,10000
10/1/2018,Group accomodations,Domestic,142000
10/1/2018,Group accomodations,International,10000
11/1/2018,Group accomodations,Domestic,85000
11/1/2018,Group accomodations,International,6000
12/1/2018,Group accomodations,Domestic,57000
12/1/2018,Group accomodations,International,4000
1/1/2019,Group accomodations,Domestic,57000
1/1/2019,Group accomodations,International,2000
2/1/2019,Group accomodations,Domestic,55000
2/1/2019,Group accomodations,International,3000
3/1/2019,Group accomodations,Domestic,84000
3/1/2019,Group accomodations,International,5000
4/1/2019,Group accomodations,Domestic,114000
4/1/2019,Group accomodations,International,13000
5/1/2019,Group accomodations,Domestic,185000
5/1/2019,Group accomodations,International,7000
6/1/2019,Group accomodations,Domestic,226000
6/1/2019,Group accomodations,International,13000
7/1/2019,Group accomodations,Domestic,123000
7/1/2019,Group accomodations,International,20000
8/1/2019,Group accomodations,Domestic,129000
8/1/2019,Group accomodations,International,21000
9/1/2019,Group accomodations,Domestic,229000
9/1/2019,Group accomodations,International,7000
10/1/2019,Group accomodations,Domestic,150000
10/1/2019,Group accomodations,International,10000
11/1/2019,Group accomodations,Domestic,87000
11/1/2019,Group accomodations,International,4000
12/1/2019,Group accomodations,Domestic,59000
12/1/2019,Group accomodations,International,4000
1/1/2020,Group accomodations,Domestic,53000
1/1/2020,Group accomodations,International,6000
2/1/2020,Group accomodations,Domestic,56000
2/1/2020,Group accomodations,International,4000
3/1/2020,Group accomodations,Domestic,40000
3/1/2020,Group accomodations,International,3000
4/1/2020,Group accomodations,Domestic,10000
4/1/2020,Group accomodations,International,0
5/1/2020,Group accomodations,Domestic,14000
5/1/2020,Group accomodations,International,0
6/1/2020,Group accomodations,Domestic,31000
6/1/2020,Group accomodations,International,2000
7/1/2020,Group accomodations,Domestic,84000
7/1/2020,Group accomodations,International,11000
8/1/2020,Group accomodations,Domestic,95000
8/1/2020,Group accomodations,International,9000
9/1/2020,Group accomodations,Domestic,89000
9/1/2020,Group accomodations,International,3000
10/1/2020,Group accomodations,Domestic,40000
10/1/2020,Group accomodations,International,1000
11/1/2020,Group accomodations,Domestic,23000
11/1/2020,Group accomodations,International,2000
12/1/2020,Group accomodations,Domestic,28000
12/1/2020,Group accomodations,International,1000
1/1/2021,Group accomodations,Domestic,4000
1/1/2021,Group accomodations,International,2000
2/1/2021,Group accomodations,Domestic,5000
2/1/2021,Group accomodations,International,2000
3/1/2021,Group accomodations,Domestic,9000
3/1/2021,Group accomodations,International,2000
4/1/2021,Group accomodations,Domestic,26000
4/1/2021,Group accomodations,International,2000
5/1/2021,Group accomodations,Domestic,47000
5/1/2021,Group accomodations,International,1000
6/1/2021,Group accomodations,Domestic,106000
6/1/2021,Group accomodations,International,2000
7/1/2021,Group accomodations,Domestic,107000
7/1/2021,Group accomodations,International,7000
1/1/2021,Hotel,Domestic,5000
2/1/2021,Hotel,International,200
3/1/2021,Holiday Park,Domestic,9500
4/1/2021,Camping,Domestic,12000
5/1/2021,Hotel,International,150
6/1/2021,Holiday Park,International,300
7/1/2021,Camping,Domestic,18000
8/1/2021,Hotel,Domestic,20000
9/1/2021,Holiday Park,Domestic,4000
10/1/2021,Camping,International,250
11/1/2021,Hotel,Domestic,3500
12/1/2021,Holiday Park,Domestic,22000
1/1/2022,Camping,Domestic,3000
2/1/2022,Hotel,International,100
3/1/2022,Holiday Park,Domestic,14000
4/1/2022,Camping,Domestic,16000
5/1/2022,Hotel,Domestic,25000
6/1/2022,Holiday Park,International,500
7/1/2022,Camping,Domestic,21000
8/1/2022,Hotel,International,300
